Hora_Recebimento,Tempo_ms,Pacote_ID,Quat_W,Quat_X,Quat_Y,Quat_Z
10:33:07.932,100,5,1.0,0.0,0.0,0.0
10:33:08.163,200,10,1.0,0.0,0.0,0.0
10:33:08.371,300,15,1.0,0.0,0.0,0.0
10:33:08.580,400,20,1.0,0.0,0.0,0.0
10:33:08.788,500,25,1.0,0.0,0.0,0.0
10:33:09.003,600,30,1.0,0.0,0.0,0.0
10:33:09.217,700,35,1.0,0.0,0.0,0.0
10:33:09.426,800,40,1.0,0.0,0.0,0.0
10:33:09.634,900,45,1.0,0.0,0.0,0.0
10:33:09.842,1000,50,1.0,0.0,0.0,0.0
10:33:10.052,1100,55,1.0,0.0,0.0,0.0
10:33:10.264,1200,60,1.0,0.0,0.0,0.0
10:33:10.472,1300,65,1.0,0.0,0.0,0.0
10:33:10.683,1400,70,1.0,0.0,0.0,0.0
10:33:10.900,1500,75,1.0,0.0,0.0,0.0
10:33:11.110,1600,80,1.0,0.0,0.0,0.0
10:33:11.318,1700,85,1.0,0.0,0.0,0.0
10:33:11.539,1800,90,1.0,0.0,0.0,0.0
10:33:11.751,1900,95,1.0,0.0,0.0,0.0
10:33:11.964,2000,100,1.0,0.0,0.0,0.0
10:33:12.175,2100,105,1.0,0.0,0.0,0.0
10:33:12.387,2200,110,1.0,0.0,0.0,0.0
10:33:12.598,2300,115,1.0,0.0,0.0,0.0
10:33:12.810,2400,120,1.0,0.0,0.0,0.0
10:33:13.019,2500,125,1.0,0.0,0.0,0.0
10:33:13.229,2600,130,1.0,0.0,0.0,0.0
10:33:13.438,2700,135,1.0,0.0,0.0,0.0
10:33:13.663,2800,140,1.0,0.0,0.0,0.0
10:33:13.871,2900,145,1.0,0.0,0.0,0.0
10:33:14.081,3000,150,1.0,0.0,0.0,0.0
10:33:14.289,3100,155,1.0,0.0,0.0,0.0
10:33:14.496,3200,160,1.0,0.0,0.0,0.0
10:33:14.707,3300,165,1.0,0.0,0.0,0.0
10:33:14.921,3400,170,1.0,0.0,0.0,0.0
10:33:15.140,3500,175,1.0,0.0,0.0,0.0
10:33:15.355,3600,180,1.0,0.0,0.0,0.0
10:33:15.565,3700,185,1.0,0.0,0.0,0.0
10:33:15.780,3800,190,1.0,0.0,0.0,0.0
10:33:15.989,3900,195,1.0,0.0,0.0,0.0
10:33:16.214,4000,200,1.0,0.0,0.0,0.0
10:33:16.426,4100,205,1.0,0.0,0.0,0.0
10:33:16.636,4200,210,1.0,0.0,0.0,0.0
10:33:16.849,4300,215,1.0,0.0,0.0,0.0
10:33:17.059,4400,220,1.0,0.0,0.0,0.0
10:33:17.269,4500,225,1.0,0.0,0.0,0.0
10:33:17.484,4600,230,1.0,0.0,0.0,0.0
10:33:17.710,4700,235,1.0,0.0,0.0,0.0
10:33:17.920,4800,240,1.0,0.0,0.0,0.0
10:33:18.133,4900,245,1.0,0.0,0.0,0.0
10:33:18.340,5000,250,1.0,0.0,0.0,0.0
10:33:18.549,5100,255,1.0,0.0,0.0,0.0
10:33:18.756,5200,260,1.0,0.0,0.0,0.0
10:33:18.969,5300,265,1.0,0.0,0.0,0.0
10:33:19.178,5400,270,1.0,0.0,0.0,0.0
10:33:19.395,5500,275,1.0,0.0,0.0,0.0
10:33:19.608,5600,280,1.0,0.0,0.0,0.0
10:33:19.824,5700,285,1.0,0.0,0.0,0.0
10:33:20.034,5800,290,1.0,0.0,0.0,0.0
10:33:20.250,5900,295,1.0,0.0,0.0,0.0
10:33:20.461,6000,300,1.0,0.0,0.0,0.0
10:33:20.676,6100,305,1.0,0.0,0.0,0.0
10:33:20.887,6200,310,1.0,0.0,0.0,0.0
10:33:21.096,6300,315,1.0,0.0,0.0,0.0
10:33:21.318,6400,320,1.0,0.0,0.0,0.0
10:33:21.545,6500,325,1.0,0.0,0.0,0.0
10:33:21.765,6600,330,1.0,0.0,0.0,0.0
10:33:21.973,6700,335,1.0,0.0,0.0,0.0
10:33:22.194,6800,340,1.0,0.0,0.0,0.0
10:33:22.419,6900,345,1.0,0.0,0.0,0.0
10:33:22.639,7000,350,1.0,0.0,0.0,0.0
10:33:22.848,7100,355,1.0,0.0,0.0,0.0
10:33:23.066,7200,360,1.0,0.0,0.0,0.0
10:33:23.292,7300,365,1.0,0.0,0.0,0.0
10:33:23.507,7400,370,1.0,0.0,0.0,0.0
10:33:23.725,7500,375,1.0,0.0,0.0,0.0
10:33:23.953,7600,380,1.0,0.0,0.0,0.0
10:33:24.177,7700,385,1.0,0.0,0.0,0.0
10:33:24.388,7800,390,1.0,0.0,0.0,0.0
10:33:24.611,7900,395,1.0,0.0,0.0,0.0
10:33:24.827,8000,400,1.0,0.0,0.0,0.0
