Hora_Recebimento,Tempo_ms,Pacote_ID,Pressao,Status_Squib
10:33:07.932,100,5,1013.2499899754479,0
10:33:08.163,200,10,1011.3320224278791,0
10:33:08.371,300,15,1009.6450211855974,0
10:33:08.580,400,20,1007.9855535589852,0
10:33:08.788,500,25,1006.3784992248516,0
10:33:09.003,600,30,1004.7528000845788,0
10:33:09.217,700,35,1003.1806596603137,0
10:33:09.426,800,40,1001.6784045292703,0
10:33:09.634,900,45,1000.2199461956186,0
10:33:09.842,1000,50,998.8019929046085,0
10:33:10.052,1100,55,997.4117730335772,0
10:33:10.264,1200,60,996.0440454276596,0
10:33:10.472,1300,65,994.7383375168811,0
10:33:10.683,1400,70,993.4573031668422,0
10:33:10.900,1500,75,992.1756108084816,0
10:33:11.110,1600,80,990.972678497824,0
10:33:11.318,1700,85,989.8192980234295,0
10:33:11.539,1800,90,988.6308211881336,0
10:33:11.751,1900,95,987.5329666808858,0
10:33:11.964,2000,100,986.469601551696,0
10:33:12.175,2100,105,985.4535819157379,0
10:33:12.387,2200,110,984.4683677301177,0
10:33:12.598,2300,115,983.5266392733274,0
10:33:12.810,2400,120,982.61611428637,0
10:33:13.019,2500,125,981.7577875251615,0
10:33:13.229,2600,130,980.9300425254972,0
10:33:13.438,2700,135,980.1404428674247,0
10:33:13.663,2800,140,979.3349634398905,0
10:33:13.871,2900,145,978.6273096550776,0
10:33:14.081,3000,150,977.9478064397695,0
10:33:14.289,3100,155,977.3094188197699,0
10:33:14.496,3200,160,976.7113153501717,0
10:33:14.707,3300,165,976.1393910755385,0
10:33:14.921,3400,170,975.5956953704048,0
10:33:15.140,3500,175,975.0770583299527,0
10:33:15.355,3600,180,974.6073861707578,0
10:33:15.565,3700,185,974.1841570614835,0
10:33:15.780,3800,190,973.7875290746183,0
10:33:15.989,3900,195,973.4396922213236,0
10:33:16.214,4000,200,973.1047567296544,0
10:33:16.426,4100,205,972.8262614841027,1
10:33:16.636,4200,210,972.5871288830866,1
10:33:16.849,4300,215,972.3812882502826,1
10:33:17.059,4400,220,972.2137188094895,1
10:33:17.269,4500,225,972.0830077382691,1
10:33:17.484,4600,230,971.9858137606234,1
10:33:17.710,4700,235,971.9243217749446,1
10:33:17.920,4800,240,971.9044064097614,1
10:33:18.133,4900,245,972.2549413533345,1
10:33:18.340,5000,250,972.6154345580258,1
10:33:18.549,5100,255,972.9800400169349,1
10:33:18.756,5200,260,973.3409896073138,1
10:33:18.969,5300,265,973.7122066571937,2
10:33:19.178,5400,270,974.078102076266,2
10:33:19.395,5500,275,974.4558775448626,2
10:33:19.608,5600,280,974.827499221195,2
10:33:19.824,5700,285,975.2051630475481,2
10:33:20.034,5800,290,975.5728804907608,2
10:33:20.250,5900,295,975.9501967244073,2
10:33:20.461,6000,300,976.3188182477525,2
10:33:20.676,6100,305,976.6940564716195,2
10:33:20.887,6200,310,977.064125240425,2
10:33:21.096,6300,315,977.429241711604,2
10:33:21.318,6400,320,977.817541605326,2
10:33:21.545,6500,325,978.21621065724,2
10:33:21.765,6600,330,978.6011694614494,2
10:33:21.973,6700,335,978.966226163129,2
10:33:22.194,6800,340,979.3532959275648,2
10:33:22.419,6900,345,979.7477931046072,2
10:33:22.639,7000,350,980.1332846165224,2
10:33:22.848,7100,355,980.4999431807704,2
10:33:23.066,7200,360,980.8830006490979,2
10:33:23.292,7300,365,981.2801697052839,2
10:33:23.507,7400,370,981.6572752785565,2
10:33:23.725,7500,375,982.0405107321985,2
10:33:23.953,7600,380,982.4395936744924,2
10:33:24.177,7700,385,982.8348951487271,2
10:33:24.388,7800,390,983.2058744801823,2
10:33:24.611,7900,395,983.5980060981916,2
10:33:24.827,8000,400,983.9780903246475,2
10:33:25.044,8100,405,984.3588348543246,2
10:33:25.252,8200,410,984.7253824402926,2
10:33:25.467,8300,415,985.1039582211458,2
10:33:25.679,8400,420,985.4767066775992,2
10:33:25.888,8500,425,985.8450119417917,2
10:33:26.098,8600,430,986.2163355747451,2
10:33:26.318,8700,435,986.6047119375082,2
10:33:26.530,8800,440,986.9771021000143,2
10:33:26.738,8900,445,987.3455432849462,2
10:33:26.954,9000,450,987.7253283957439,2
10:33:27.170,9100,455,988.1080181927389,2
10:33:27.383,9200,460,988.4841796841501,2
10:33:27.591,9300,465,988.851225045689,2
10:33:27.807,9400,470,989.2318325621105,2
10:33:28.020,9500,475,989.6087121808242,2
10:33:28.236,9600,480,989.9903741196038,2
10:33:28.446,9700,485,990.3627582200758,2
10:33:28.660,9800,490,990.7418598166614,2
