Hora_Recebimento,Tempo_ms,Pacote_ID,Latitude,Longitude,Alt_GPS,Pressao,Alt_BMP,Alt_Max,Acc_X,Acc_Y,Acc_Z,Satélites,Quat_W,Quat_X,Quat_Y,Quat_Z,Status_Squib,Velocidade
10:33:07.932,100,5,-19.67650056020745,-43.212003477175166,0.006981715012005729,1013.2499899754479,8.344649771174772e-05,8.344649771174772e-05,-0.509507517784195,1.266624010299033,25.687973053764,12,1.0,0.0,0.0,0.0,0,2.5724227761101988
10:33:08.163,200,10,-19.67649682123962,-43.21199494542654,15.834385180722085,1011.3320224278791,15.977901491344765,15.977901491344765,-0.6129102545219457,0.8774837170101524,17.164514621639352,12,1.0,0.0,0.0,0.0,0,1.7197854483922907
10:33:08.371,300,15,-19.676486832363807,-43.21199281856193,31.499390460128804,1009.6450211855974,30.051926839792525,30.051926839792525,-0.8638865040248946,1.2894605897587246,22.66622065190285,12,1.0,0.0,0.0,0.0,0,2.2719299442217067
10:33:08.580,400,20,-19.67648438892095,-43.211985182215585,45.03515345040578,1007.9855535589852,43.91483993362477,43.91483993362477,1.2500635734631298,-0.41578031803502236,17.689522060517035,12,1.0,0.0,0.0,0.0,0,1.7738509603122907
10:33:08.788,500,25,-19.67648011505691,-43.21197988212299,55.377007759645046,1006.3784992248516,57.35752655393223,57.35752655393223,-0.8095064716216493,-1.1128123868721689,22.487839104185465,12,1.0,0.0,0.0,0.0,0,2.252990367737302
10:33:09.003,600,30,-19.67647643013708,-43.21197803979883,69.6914810744097,1004.7528000845788,70.97387052262924,70.97387052262924,-0.18156207530052781,-1.444294551328639,29.30179837336061,12,1.0,0.0,0.0,0.0,0,2.9337933455703107
10:33:09.217,700,35,-19.676473277964426,-43.21197376965406,83.84076740669616,1003.1806596603137,84.15860184189658,84.15860184189658,-0.48055892623911656,-0.8897896605841311,15.090225607597148,12,1.0,0.0,0.0,0.0,0,1.5124072580156815
10:33:09.426,800,40,-19.67646642637267,-43.21196830226905,96.7516943594407,1001.6784045292703,96.77288263617173,96.77288263617173,-1.0785993134587053,0.49295692991686035,33.622046674864265,12,1.0,0.0,0.0,0.0,0,3.364295476946842
10:33:09.634,900,45,-19.676467206296596,-43.211963745096774,109.12080371483012,1000.2199461956186,109.03407008413524,109.03407008413524,-0.02214161939736803,-1.115226477659107,29.835261921352057,12,1.0,0.0,0.0,0.0,0,2.9856106147042376
10:33:09.842,1000,50,-19.67646203856161,-43.211960783640876,121.33878038810826,998.8019929046085,120.96862087036789,120.96862087036789,-0.8969324809265232,-0.27724631049603343,19.663836619816525,12,1.0,0.0,0.0,0.0,0,1.9686234378439726
10:33:10.052,1100,55,-19.676458028517875,-43.21196179071569,132.76151000234472,997.4117730335772,132.6830734266546,132.6830734266546,-0.7468857378153434,0.3914186901677734,19.382048096036783,12,1.0,0.0,0.0,0.0,0,1.9400382349156104
10:33:10.264,1200,60,-19.676452917350712,-43.21195635937451,143.35621472828052,996.0440454276596,144.22090802346546,144.22090802346546,0.6945211471058905,1.3737932127233963,28.45371142444945,12,1.0,0.0,0.0,0.0,0,2.849532174306771
